vas@vasm1pro:/Users/vas/repos/matemancpp$ time ./build/matemancpp
Thread ID       Duration        # of Games      File Name
0x16d6f7000     76.01s          12705           SicilianLowenthal.pgn
0x16d80f000     5.55s           891             Botvinnik.pgn
0x16d783000     15.12s          2264            Nepomniachtchi.pgn
0x16d4c7000     49.38s          8412            NimzoRub4c5.pgn
0x16d66b000     31.08s          5151            Catalan3c5.pgn
0x16d783000     4.61s           738             Blackburne.pgn
0x16d66b000     3.17s           497             Mikenas.pgn
0x16d89b000     20.42s          3664            QG-Albin.pgn
0x16d6f7000     14.49s          2535            EngSymDoubleFianchetto.pgn
0x16d4c7000     21.39s          3792            SemiTarraschMain.pgn
0x16d80f000     25.73s          4602            RuyLopezClassical.pgn
0x16d89b000     17.24s          3030            Portisch.pgn
0x16d80f000     14.02s          2451            Shabalov.pgn
0x16d553000     57.72s          9133            RuyLopezOther6.pgn
0x16d89b000     11.43s          1867            Radjabov.pgn
0x16d66b000     47.00s          9093            SlavExchange.pgn
0x16d5df000     120.44s         20577           English1g6.pgn
0x16d66b000     12.89s          2431            Tal.pgn
0x16d5df000     3.72s           561             Fishbein.pgn
0x16d5df000     2.44s           414             Ashley.pgn
0x16d66b000     6.44s           1095            BecerraRivero.pgn
0x16d4c7000     50.54s          8439            Nimzo4Nf3.pgn
0x16d4c7000     1.25s           198             MacKenzie.pgn
0x16d89b000     36.97s          6223            DutchClassical.pgn
0x16d89b000     5.06s           909             PolgarZ.pgn
0x16d6f7000     71.19s          11746           Torre2g6.pgn
0x16d6f7000     1.02s           211             Morphy.pgn
0x16d4c7000     11.53s          1900            Akopian.pgn
0x16d783000     98.97s          17400           PetroffMain.pgn
0x16d783000     11.75s          2333            Khalifman.pgn
0x16d80f000     83.62s          14157           QID4g3Other.pgn
0x16d553000     87.43s          15034           Grunfeld4Nf3.pgn
0x16d4c7000     45.07s          8068            ScotchGambit.pgn
0x16d5df000     88.85s          14343           RuyLopezOther5.pgn
0x16d4c7000     25.35s          3917            RuyLopezFlohr-Zaitsev.pgn
0x16d783000     43.09s          7204            EnglishSicRevOtherB2.pgn
0x16d66b000     87.65s          14659           English1e6-2Nf3-d5.pgn
0x16d80f000     44.62s          7214            London2e6.pgn
0x16d89b000     97.76s          16985           Caro-KannPan-Bot.pgn
0x16d783000     19.94s          3101            Aronian.pgn
0x16d66b000     19.89s          3312            Hungarian.pgn
0x16d66b000     1.84s           305             Fine.pgn
0x16d66b000     5.43s           917             Finegold.pgn
0x16d66b000     1.95s           319             Gunsberg.pgn
0x16d553000     63.26s          10416           Caro-Kann2Knight.pgn
0x16d66b000     4.24s           780             Dzindzichashvili.pgn
0x16d66b000     3.42s           597             Capablanca.pgn
0x16d5df000     44.45s          7755            Dunst.pgn
0x16d5df000     3.72s           649             Lilienthal.pgn
0x16d89b000     30.54s          5106            SicDragon6Be2-6Bc4.pgn
0x16d66b000     18.65s          3146            SicilianNajdorf6a4.pgn
0x16d783000     42.59s          7373            FrenchClassical.pgn
0x16d89b000     11.81s          1892            Blatny.pgn
0x16d783000     11.13s          1752            Sasikiran.pgn
0x16d89b000     14.85s          2517            Nikolic.pgn
0x16d6f7000     155.64s         26145           PircOtherBlack3.pgn
0x16d783000     10.20s          1606            Onischuk.pgn
0x16d783000     6.94s           1191            Shulman.pgn
0x16d4c7000     103.92s         19054           FrenchExchange.pgn
0x16d5df000     61.99s          10267           Modern3Nc3-c6.pgn
0x16d89b000     35.46s          6006            ModernOther3.pgn
0x16d6f7000     35.31s          6264            Sicilian2f4.pgn
0x16d5df000     9.58s           1702            Sakaev.pgn
0x16d89b000     15.85s          2468            Topalov.pgn
0x16d66b000     80.83s          13542           Modern.pgn
0x16d6f7000     18.74s          2876            Georgiev.pgn
0x16d66b000     1.81s           261             Bernstein.pgn
0x16d89b000     14.38s          1979            Inarkiev.pgn
0x16d89b000     18.29s          2845            Bacrot.pgn
0x16d89b000     27.96s          4591            Hodgson.pgn
0x16d553000     174.27s         29021           Caro-KannAdv.pgn
0x16d553000     5.05s           776             Alburt.pgn
0x16d66b000     73.44s          11878           EnglishSicRevClosed.pgn
0x16d80f000     215.17s         35422           SicilianRossolimo.pgn
0x16d66b000     9.68s           1381            DominguezPerez.pgn
0x16d553000     15.87s          2601            Krasenkow.pgn
0x16d6f7000     93.45s          14746           QID4g3-Ba6.pgn
0x16d783000     142.50s         22956           SicilianRichter-Rauzer.pgn
0x16d553000     11.66s          1944            Ljubojevic.pgn
0x16d66b000     15.70s          2723            Sicilian2Nc6Other5.pgn
0x16d66b000     7.87s           1284            Suetin.pgn
0x16d4c7000     150.15s         24202           SicilianAccelDragon.pgn
0x16d5df000     139.46s         21747           RuyLopezBerlin.pgn
0x16d5df000     0.10s           14              zzztest.pgn
